,osing,indonesia
6613,isun nyimpen lare teko pasar,saya menyimpan anak dari pasar
6614,lare nggowo lare nong puthuk,anak membawa anak di bukit
6615,mak ngambung sego nyang umah,ibu mencium nasi ke rumah
6616,lare ngambung jangan nong puthuk,anak mencium sayur di bukit
6617,isun nyampat byanyu nong pasar,aku memukul air di pasar
6618,embyah nyapu jangan nyang umah,nenek menyapu sayur ke rumah
6619,wong-wong ngambung byanyu nyang puthuk,mereka mencium air ke bukit
6620,isun ngolah gedhang teko umah,aku memasak pisang dari rumah
6621,bapak ngolah lading nong umah,bapak memasak pisau di rumah
6622,bapak nyapu buku nong pawon,bapak menyapu buku di dapur
6623,bapak nggowo sego nong pawon,bapak membawa nasi di dapur
6624,lare nyampat gedhang nong umah,anak memukul pisang di rumah
6625,wong-wong ngolah byanyu teko pasar,mereka memasak air dari pasar
6626,embyah nyapu kunci nong puthuk,nenek menyapu kunci di bukit
6627,wong-wong ndeleng sego teko pasar,mereka melihat nasi dari pasar
6628,wong-wong ndeleng lading teko pawon,mereka melihat pisau dari dapur
6629,embyah nyapu lading nyang pasar,nenek menyapu pisau ke pasar
6630,embyah ngambung lare,nenek mencium anak
6631,yane ngambung byanyu teko puthuk,dia mencium air dari bukit
6632,mak ngolah gedhang teko umah,ibu memasak pisang dari rumah
6633,lare nggowo byanyu nyang pawon,anak membawa air ke dapur
6634,wong-wong ngolah lading nyang umah,mereka memasak pisau ke rumah
6635,embyah ngundang buku nong pawon,nenek memanggil buku di dapur
6636,isun nyampat gedhang nyang pasar,saya memukul pisang ke pasar
6637,yane ngolah lading nyang umah,dia memasak pisau ke rumah
6638,isun ngambung lading nong pawon,aku mencium pisau di dapur
6639,isun ndeleng lading nong pawon,aku melihat pisau di dapur
6640,lare nyimpen kunci teko umah,anak menyimpan kunci dari rumah
6641,wong-wong ngolah kunci nong pawon,mereka memasak kunci di dapur
6642,mak ngundang lading nyang kali,ibu memanggil pisau ke sungai
6643,isun njuwut lare nyang kali,saya mengambil anak ke sungai
6644,isun ngundang sego nong puthuk,aku memanggil nasi di bukit
6645,riko ngolah kunci nong pasar,kamu memasak kunci di pasar
6646,bapak nyampat lading,bapak memukul pisau
6647,bapak nggowo buku nyang pawon,bapak membawa buku ke dapur
6648,mak ngambung kunci nong pasar,ibu mencium kunci di pasar
6649,yane nggowo byanyu nyang puthuk,dia membawa air ke bukit
6650,yane ndeleng jangan nyang puthuk,dia melihat sayur ke bukit
6651,embyah nyapu lading teko pasar,nenek menyapu pisau dari pasar
6652,riko nyimpen lading nyang pasar,kamu menyimpan pisau ke pasar
6653,mak ngambung kembang nong pawon,ibu mencium bunga di dapur
6654,mak ndeleng kunci nyang pawon,ibu melihat kunci ke dapur
6655,embyah nyimpen byanyu nong umah,nenek menyimpan air di rumah
6656,wong-wong ngambung kembang nong umah,mereka mencium bunga di rumah
6657,wong-wong nyampat sego nyang pasar,mereka memukul nasi ke pasar
6658,lare njuwut sego teko puthuk,anak mengambil nasi dari bukit
6659,mak nyapu kunci nong pasar,ibu menyapu kunci di pasar
6660,mak ngundang buku nong umah,ibu memanggil buku di rumah
6661,mak nggowo lading nong puthuk,ibu membawa pisau di bukit
6662,bapak njuwut gedhang nong pasar,bapak mengambil pisang di pasar
6663,mak ngambung kembang nyang puthuk,ibu mencium bunga ke bukit
6664,embyah ngambung buku nong kali,nenek mencium buku di sungai
6665,bapak nyimpen gedhang nyang pasar,bapak menyimpan pisang ke pasar
6666,isun nyampat sego nyang umah,aku memukul nasi ke rumah
6667,bapak ngundang kembang nong pasar,bapak memanggil bunga di pasar
6668,isun nyimpen buku nyang pasar,aku menyimpan buku ke pasar
6669,embyah ngolah lare nong puthuk,nenek memasak anak di bukit
6670,lare ngolah jangan nong kali,anak memasak sayur di sungai
6671,embyah nyapu buku nyang puthuk,nenek menyapu buku ke bukit
6672,embyah ngambung jangan nong pasar,nenek mencium sayur di pasar
6673,bapak nyapu kunci teko puthuk,bapak menyapu kunci dari bukit
6674,embyah nyapu buku nyang umah,nenek menyapu buku ke rumah
6675,riko ndeleng lare teko umah,kamu melihat anak dari rumah
6676,embyah nyimpen gedhang teko kali,nenek menyimpan pisang dari sungai
6677,riko ndeleng sego nyang puthuk,kamu melihat nasi ke bukit
6678,lare nyimpen buku nong pawon,anak menyimpan buku di dapur
6679,bapak nyapu kembang nyang umah,bapak menyapu bunga ke rumah
6680,bapak nyimpen buku teko kali,bapak menyimpan buku dari sungai
6681,lare ngambung jangan nyang kali,anak mencium sayur ke sungai
6682,embyah nyampat sego teko kali,nenek memukul nasi dari sungai
6683,isun ndeleng jangan teko puthuk,aku melihat sayur dari bukit
6684,bapak nggowo buku nong puthuk,bapak membawa buku di bukit
6685,bapak nyimpen lading,bapak menyimpan pisau
6686,yane ngundang lare nyang pasar,dia memanggil anak ke pasar
6687,yane nyampat kembang nyang puthuk,dia memukul bunga ke bukit
6688,isun nggowo jangan nong kali,saya membawa sayur di sungai
6689,mak njuwut buku nong puthuk,ibu mengambil buku di bukit
6690,isun ngundang byanyu nong pawon,aku memanggil air di dapur
6691,isun njuwut buku teko umah,aku mengambil buku dari rumah
6692,mak ndeleng jangan teko pasar,ibu melihat sayur dari pasar
6693,yane nyimpen kunci teko pawon,dia menyimpan kunci dari dapur
6694,embyah nyampat gedhang teko pawon,nenek memukul pisang dari dapur
6695,yane nyapu gedhang nong pasar,dia menyapu pisang di pasar
6696,bapak nyapu kembang teko puthuk,bapak menyapu bunga dari bukit
6697,wong-wong nyampat kembang nong kali,mereka memukul bunga di sungai
6698,isun nyapu kunci teko pawon,aku menyapu kunci dari dapur
6699,bapak ngolah sego teko kali,bapak memasak nasi dari sungai
6700,mak nyimpen kunci teko kali,ibu menyimpan kunci dari sungai
6701,mak nggowo byanyu teko pawon,ibu membawa air dari dapur
6702,riko nggowo jangan nyang pasar,kamu membawa sayur ke pasar
6703,riko nggowo byanyu teko pawon,kamu membawa air dari dapur
6704,mak ngundang lading nyang puthuk,ibu memanggil pisau ke bukit
6705,isun ngolah kunci nong umah,aku memasak kunci di rumah
6706,isun njuwut sego teko kali,aku mengambil nasi dari sungai
6707,isun ngambung gedhang teko umah,saya mencium pisang dari rumah
6708,bapak nggowo lare nong pasar,bapak membawa anak di pasar
6709,embyah ngambung buku nyang kali,nenek mencium buku ke sungai
6710,mak nyapu kunci teko kali,ibu menyapu kunci dari sungai
6711,isun nyapu lare nong umah,saya menyapu anak di rumah
6712,riko nyapu buku nong umah,kamu menyapu buku di rumah
6713,mak njuwut kembang teko pasar,ibu mengambil bunga dari pasar
6714,isun ngundang byanyu teko puthuk,aku memanggil air dari bukit
6715,yane ndeleng sego teko umah,dia melihat nasi dari rumah
6716,isun ngambung sego teko umah,saya mencium nasi dari rumah
6717,embyah ngambung sego nong umah,nenek mencium nasi di rumah
6718,embyah ngolah buku nyang pasar,nenek memasak buku ke pasar
6719,lare ndeleng lading teko pawon,anak melihat pisau dari dapur
6720,yane nyimpen kembang nong pawon,dia menyimpan bunga di dapur
6721,mak nyimpen lading teko pawon,ibu menyimpan pisau dari dapur
6722,isun nggowo sego nyang puthuk,saya membawa nasi ke bukit
6723,isun nyimpen buku teko pasar,saya menyimpan buku dari pasar
6724,wong-wong ndeleng byanyu teko pawon,mereka melihat air dari dapur
6725,isun ngundang buku teko umah,aku memanggil buku dari rumah
6726,yane nyimpen lare teko umah,dia menyimpan anak dari rumah
6727,isun nyampat kembang nong pasar,aku memukul bunga di pasar
6728,isun ngolah buku teko umah,saya memasak buku dari rumah
6729,wong-wong ngundang sego nong puthuk,mereka memanggil nasi di bukit
6730,bapak nyimpen lading nong pasar,bapak menyimpan pisau di pasar
6731,riko nyimpen buku nong umah,kamu menyimpan buku di rumah
6732,riko ngundang buku nyang puthuk,kamu memanggil buku ke bukit
6733,riko njuwut lare,kamu mengambil anak
6734,yane nyapu sego nyang pawon,dia menyapu nasi ke dapur
6735,lare ngolah kembang nyang umah,anak memasak bunga ke rumah
6736,bapak ngundang lading nong umah,bapak memanggil pisau di rumah
6737,embyah ngolah lading,nenek memasak pisau
6738,riko nyapu lare teko kali,kamu menyapu anak dari sungai
6739,riko ngambung kunci nong pawon,kamu mencium kunci di dapur
6740,bapak nggowo jangan nyang pasar,bapak membawa sayur ke pasar
6741,lare njuwut sego,anak mengambil nasi
6742,bapak nyampat kembang nyang pasar,bapak memukul bunga ke pasar
6743,isun ngolah buku nong umah,saya memasak buku di rumah
6744,mak nyimpen lare nong umah,ibu menyimpan anak di rumah
6745,isun nyimpen lare nong pawon,saya menyimpan anak di dapur
6746,lare ngambung buku nong pasar,anak mencium buku di pasar
6747,embyah nggowo jangan nong pawon,nenek membawa sayur di dapur
6748,yane ngolah gedhang,dia memasak pisang
6749,wong-wong njuwut kunci teko puthuk,mereka mengambil kunci dari bukit
6750,mak ngambung lare teko kali,ibu mencium anak dari sungai
6751,riko ngundang byanyu nyang puthuk,kamu memanggil air ke bukit
6752,mak ndeleng sego nong pasar,ibu melihat nasi di pasar
6753,bapak nggowo buku nong umah,bapak membawa buku di rumah
6754,lare nyampat jangan teko umah,anak memukul sayur dari rumah
6755,mak ngambung kunci nyang pawon,ibu mencium kunci ke dapur
6756,wong-wong nyapu lading nyang umah,mereka menyapu pisau ke rumah
6757,lare nyimpen buku nong puthuk,anak menyimpan buku di bukit
6758,isun ngolah byanyu teko pasar,saya memasak air dari pasar
6759,isun ndeleng byanyu nong kali,saya melihat air di sungai
6760,embyah ngolah lare nyang pawon,nenek memasak anak ke dapur
6761,yane ndeleng jangan teko kali,dia melihat sayur dari sungai
6762,isun ngambung kunci teko puthuk,saya mencium kunci dari bukit
6763,riko ngundang gedhang nyang puthuk,kamu memanggil pisang ke bukit
6764,yane njuwut gedhang nyang kali,dia mengambil pisang ke sungai
6765,bapak nyimpen lare nyang puthuk,bapak menyimpan anak ke bukit
6766,yane ngundang gedhang nong pawon,dia memanggil pisang di dapur
6767,yane ngundang gedhang teko umah,dia memanggil pisang dari rumah
6768,riko ngundang lare nong umah,kamu memanggil anak di rumah
6769,riko ngundang kembang teko kali,kamu memanggil bunga dari sungai
6770,wong-wong ndeleng lading nyang pasar,mereka melihat pisau ke pasar
6771,riko ndeleng gedhang nyang kali,kamu melihat pisang ke sungai
6772,mak nggowo lading teko kali,ibu membawa pisau dari sungai
6773,bapak nyapu lading nyang puthuk,bapak menyapu pisau ke bukit
6774,mak ndeleng buku teko puthuk,ibu melihat buku dari bukit
6775,mak nggowo sego nyang pawon,ibu membawa nasi ke dapur
6776,isun nyimpen lading nong puthuk,aku menyimpan pisau di bukit
6777,lare ngolah kunci nyang pasar,anak memasak kunci ke pasar
6778,embyah njuwut byanyu nyang umah,nenek mengambil air ke rumah
6779,riko nyampat lare nong pawon,kamu memukul anak di dapur
6780,isun nyimpen byanyu teko puthuk,aku menyimpan air dari bukit
6781,mak ndeleng kembang nong kali,ibu melihat bunga di sungai
6782,isun nyapu jangan teko pasar,aku menyapu sayur dari pasar
6783,riko nyimpen sego,kamu menyimpan nasi
6784,isun nyimpen jangan nong puthuk,aku menyimpan sayur di bukit
6785,wong-wong ndeleng gedhang,mereka melihat pisang
6786,yane ngundang kunci nong pasar,dia memanggil kunci di pasar
6787,riko nyampat kunci teko pasar,kamu memukul kunci dari pasar
6788,wong-wong ngolah lading nong pasar,mereka memasak pisau di pasar
6789,isun njuwut buku nyang pasar,saya mengambil buku ke pasar
6790,wong-wong njuwut kunci nong pasar,mereka mengambil kunci di pasar
6791,wong-wong njuwut buku nong kali,mereka mengambil buku di sungai
6792,isun nyampat jangan teko puthuk,aku memukul sayur dari bukit
6793,yane ngolah byanyu nyang kali,dia memasak air ke sungai
6794,mak nyimpen lare teko pasar,ibu menyimpan anak dari pasar
6795,bapak nyapu buku teko pawon,bapak menyapu buku dari dapur
6796,mak ngolah lare nyang pasar,ibu memasak anak ke pasar
6797,mak ngundang byanyu teko puthuk,ibu memanggil air dari bukit
6798,mak ngundang buku nyang umah,ibu memanggil buku ke rumah
6799,yane nyampat jangan nyang pasar,dia memukul sayur ke pasar
6800,wong-wong ngambung kunci nong kali,mereka mencium kunci di sungai
6801,wong-wong ngambung kembang nyang pasar,mereka mencium bunga ke pasar
6802,riko nyimpen lare nong pawon,kamu menyimpan anak di dapur
6803,isun ngundang sego teko puthuk,aku memanggil nasi dari bukit
6804,mak ndeleng lading nong pawon,ibu melihat pisau di dapur
6805,lare ngundang sego nong pasar,anak memanggil nasi di pasar
6806,riko nyapu sego nyang pasar,kamu menyapu nasi ke pasar
6807,isun ngundang lare teko pawon,aku memanggil anak dari dapur
6808,isun nggowo kembang teko puthuk,aku membawa bunga dari bukit
6809,mak nyapu jangan,ibu menyapu sayur
6810,mak njuwut lading nyang pasar,ibu mengambil pisau ke pasar
6811,lare ngolah gedhang teko umah,anak memasak pisang dari rumah
6812,isun njuwut kunci nong puthuk,aku mengambil kunci di bukit
6813,isun nyimpen sego nong umah,saya menyimpan nasi di rumah
6814,riko njuwut lading nyang pawon,kamu mengambil pisau ke dapur
6815,yane ngolah lading teko pasar,dia memasak pisau dari pasar
6816,lare ndeleng lading nong umah,anak melihat pisau di rumah
6817,bapak nyapu lare nong puthuk,bapak menyapu anak di bukit
6818,riko nggowo lare teko puthuk,kamu membawa anak dari bukit
6819,riko njuwut kembang nyang puthuk,kamu mengambil bunga ke bukit
6820,mak ngolah byanyu teko umah,ibu memasak air dari rumah
6821,wong-wong nyapu lading teko umah,mereka menyapu pisau dari rumah
6822,embyah nyapu kunci,nenek menyapu kunci
6823,bapak ngambung lading teko puthuk,bapak mencium pisau dari bukit
6824,bapak ngolah jangan nyang puthuk,bapak memasak sayur ke bukit
6825,isun nggowo lading teko pasar,aku membawa pisau dari pasar
6826,wong-wong nyampat lare teko pawon,mereka memukul anak dari dapur
6827,bapak nyapu sego teko kali,bapak menyapu nasi dari sungai
6828,mak njuwut sego teko umah,ibu mengambil nasi dari rumah
6829,yane ngolah byanyu nyang pawon,dia memasak air ke dapur
6830,isun ngundang gedhang teko umah,aku memanggil pisang dari rumah
6831,isun njuwut gedhang nong pawon,saya mengambil pisang di dapur
6832,bapak nyampat jangan teko pasar,bapak memukul sayur dari pasar
6833,lare nggowo buku nyang kali,anak membawa buku ke sungai
6834,bapak nyapu gedhang teko pasar,bapak menyapu pisang dari pasar
6835,yane nyimpen jangan,dia menyimpan sayur
6836,yane ngambung gedhang teko umah,dia mencium pisang dari rumah
6837,isun nyimpen sego teko umah,aku menyimpan nasi dari rumah
6838,isun nyimpen kunci teko kali,aku menyimpan kunci dari sungai
6839,lare ngambung sego teko puthuk,anak mencium nasi dari bukit
6840,mak nyapu gedhang nyang pawon,ibu menyapu pisang ke dapur
6841,riko ngolah kembang nyang umah,kamu memasak bunga ke rumah
6842,isun nggowo byanyu nong puthuk,saya membawa air di bukit
6843,bapak ndeleng buku nyang umah,bapak melihat buku ke rumah
6844,yane ngolah byanyu teko umah,dia memasak air dari rumah
6845,embyah nyapu byanyu nyang kali,nenek menyapu air ke sungai
6846,lare njuwut buku nyang kali,anak mengambil buku ke sungai
6847,bapak nyampat kunci nong pasar,bapak memukul kunci di pasar
6848,embyah nyimpen buku nyang pawon,nenek menyimpan buku ke dapur
6849,wong-wong ngolah kunci teko puthuk,mereka memasak kunci dari bukit
6850,riko nyampat kembang teko pawon,kamu memukul bunga dari dapur
6851,wong-wong nyampat jangan nyang kali,mereka memukul sayur ke sungai
6852,bapak nggowo lare nong pawon,bapak membawa anak di dapur
6853,bapak ngundang lare,bapak memanggil anak
6854,riko ngolah gedhang teko pasar,kamu memasak pisang dari pasar
6855,isun nyapu gedhang nyang puthuk,saya menyapu pisang ke bukit
6856,lare ngundang lading nong pawon,anak memanggil pisau di dapur
6857,riko njuwut kunci teko umah,kamu mengambil kunci dari rumah
6858,embyah nyapu lading nong pasar,nenek menyapu pisau di pasar
6859,isun nyampat buku nong kali,aku memukul buku di sungai
6860,yane nggowo sego nyang kali,dia membawa nasi ke sungai
6861,yane ngambung byanyu nyang pawon,dia mencium air ke dapur
6862,lare nyimpen byanyu nyang pasar,anak menyimpan air ke pasar
6863,mak nyampat kunci nong puthuk,ibu memukul kunci di bukit
6864,wong-wong ngambung lading nong pasar,mereka mencium pisau di pasar
6865,isun ngambung kunci nyang pasar,aku mencium kunci ke pasar
6866,lare nyampat buku nong kali,anak memukul buku di sungai
6867,embyah ndeleng sego nong umah,nenek melihat nasi di rumah
6868,mak ndeleng kunci nyang puthuk,ibu melihat kunci ke bukit
6869,riko nyapu sego nyang kali,kamu menyapu nasi ke sungai
6870,mak ngundang jangan nong kali,ibu memanggil sayur di sungai
6871,wong-wong nyampat lare teko kali,mereka memukul anak dari sungai
6872,embyah ngundang lading nong puthuk,nenek memanggil pisau di bukit
6873,isun ngolah byanyu teko kali,saya memasak air dari sungai
6874,yane ngambung jangan nyang umah,dia mencium sayur ke rumah
6875,lare ndeleng buku teko kali,anak melihat buku dari sungai
6876,lare nyapu byanyu nyang umah,anak menyapu air ke rumah
6877,isun nyampat buku,saya memukul buku
6878,lare ngambung kunci,anak mencium kunci
6879,lare nyimpen sego nyang umah,anak menyimpan nasi ke rumah
6880,lare ngambung kembang nyang umah,anak mencium bunga ke rumah
6881,lare ndeleng sego teko umah,anak melihat nasi dari rumah
6882,embyah ngolah kunci teko kali,nenek memasak kunci dari sungai
6883,bapak ngambung lare nyang umah,bapak mencium anak ke rumah
6884,riko nyimpen byanyu teko pawon,kamu menyimpan air dari dapur
6885,bapak nggowo lare teko umah,bapak membawa anak dari rumah
